x,y,z,val
81,57,12,255
81,57,13,255
84,57,12,255
72,60,15,255
75,60,14,255
75,60,15,255
78,60,11,255
78,60,14,255
81,60,11,255
81,60,12,255
81,60,13,255
84,60,12,255
69,63,15,255
72,63,14,255
72,63,15,255
75,63,14,255
75,63,15,255
78,63,11,255
78,63,12,255
78,63,13,255
78,63,14,255
78,63,15,255
81,63,11,255
81,63,12,255
81,63,13,255
84,63,11,255
84,63,12,255
87,63,14,255
87,63,15,255
66,66,15,255
69,66,15,255
72,66,14,255
72,66,15,255
75,66,12,255
75,66,13,255
75,66,14,255
75,66,15,255
78,66,11,255
78,66,12,255
78,66,13,255
78,66,14,255
78,66,15,255
81,66,11,255
81,66,12,255
81,66,13,255
81,66,14,255
81,66,15,255
84,66,11,255
84,66,14,255
84,66,15,255
87,66,14,255
87,66,15,255
87,66,16,255
90,66,11,255
90,66,15,255
117,66,15,255
69,69,15,255
72,69,12,255
72,69,13,255
72,69,14,255
72,69,15,255
75,69,12,255
75,69,13,255
75,69,14,255
75,69,15,255
78,69,11,255
78,69,12,255
78,69,13,255
78,69,14,255
78,69,15,255
81,69,11,255
81,69,12,255
81,69,13,255
81,69,14,255
81,69,15,255
84,69,11,255
84,69,12,255
84,69,13,255
84,69,14,255
84,69,15,255
87,69,11,255
87,69,14,255
87,69,15,255
87,69,16,255
90,69,11,255
90,69,15,255
99,69,17,255
111,69,15,255
114,69,15,255
117,69,15,255
120,69,15,255
69,72,13,255
69,72,15,255
69,72,16,255
72,72,13,255
72,72,14,255
72,72,15,255
72,72,16,255
75,72,13,255
75,72,14,255
75,72,15,255
75,72,16,255
78,72,11,255
78,72,12,255
78,72,13,255
78,72,14,255
78,72,15,255
81,72,11,255
81,72,12,255
81,72,13,255
81,72,14,255
81,72,15,255
84,72,11,255
84,72,12,255
84,72,13,255
84,72,14,255
84,72,15,255
84,72,16,255
87,72,11,255
87,72,14,255
87,72,15,255
87,72,16,255
90,72,11,255
90,72,15,255
90,72,16,255
93,72,15,255
93,72,16,255
96,72,16,255
99,72,17,255
102,72,17,255
108,72,15,255
111,72,15,255
114,72,15,255
117,72,15,255
120,72,15,255
54,75,14,255
57,75,13,255
60,75,13,255
63,75,13,255
66,75,13,255
69,75,13,255
69,75,15,255
72,75,13,255
72,75,14,255
72,75,15,255
72,75,16,255
75,75,13,255
75,75,14,255
75,75,15,255
75,75,16,255
78,75,12,255
78,75,13,255
78,75,14,255
78,75,15,255
78,75,16,255
81,75,11,255
81,75,12,255
81,75,13,255
81,75,14,255
81,75,15,255
81,75,16,255
84,75,11,255
84,75,12,255
84,75,13,255
84,75,14,255
84,75,15,255
84,75,16,255
87,75,11,255
87,75,12,255
87,75,14,255
87,75,15,255
87,75,16,255
90,75,11,255
90,75,14,255
90,75,15,255
90,75,16,255
93,75,15,255
93,75,16,255
96,75,15,255
96,75,16,255
99,75,15,255
99,75,16,255
99,75,17,255
102,75,15,255
102,75,17,255
105,75,11,255
105,75,12,255
105,75,15,255
105,75,17,255
108,75,12,255
108,75,15,255
111,75,15,255
114,75,15,255
117,75,15,255
120,75,15,255
54,78,13,255
57,78,13,255
57,78,14,255
60,78,13,255
63,78,13,255
66,78,12,255
66,78,13,255
69,78,13,255
69,78,14,255
69,78,15,255
72,78,13,255
72,78,14,255
72,78,15,255
75,78,13,255
75,78,14,255
75,78,15,255
78,78,13,255
78,78,14,255
78,78,15,255
78,78,16,255
81,78,11,255
81,78,12,255
81,78,13,255
81,78,14,255
81,78,15,255
81,78,16,255
84,78,11,255
84,78,12,255
